P_PARTKEY,P_NAME,P_MFGR,P_BRAND,P_TYPE,P_SIZE,P_CONTAINER,P_RETAILPRICE,P_COMMENT
2182,black orchid blue spring blanched,"Manufacturer#2","Brand#24",ECONOMY ANODIZED BRASS,19,LG PKG,1084.18, quickly according to 
2183,khaki orange burlywood frosted pink,"Manufacturer#1","Brand#14",STANDARD PLATED TIN,4,JUMBO BAG,1085.18, warhorses cajo
2184,lace grey sandy ivory blanched,"Manufacturer#5","Brand#52",PROMO PLATED STEEL,11,JUMBO CASE,1086.18,nd the even ac
2185,sandy tan saddle floral tomato,"Manufacturer#2","Brand#24",PROMO BURNISHED BRASS,8,JUMBO CAN,1087.18,"l, final ac"
2186,indian gainsboro olive rosy honeydew,"Manufacturer#4","Brand#41",MEDIUM PLATED BRASS,45,WRAP CAN,1088.18, deposits. 
2187,azure pink steel cornflower orchid,"Manufacturer#2","Brand#21",LARGE BURNISHED STEEL,25,LG PACK,1089.18,ckages
2188,papaya sandy chocolate frosted white,"Manufacturer#5","Brand#53",ECONOMY BURNISHED TIN,40,WRAP JAR,1090.18, blithely above the 
2189,aquamarine pale maroon metallic lime,"Manufacturer#1","Brand#15",SMALL ANODIZED STEEL,39,JUMBO DRUM,1091.18,ly ir
2190,lavender beige indian chocolate frosted,"Manufacturer#4","Brand#43",PROMO BRUSHED BRASS,43,JUMBO JAR,1092.19,e even ideas haggle fu
2191,lace burlywood seashell olive khaki,"Manufacturer#2","Brand#25",MEDIUM BURNISHED COPPER,38,LG JAR,1093.19,t the ironically ironi
2192,mint slate deep red maroon,"Manufacturer#4","Brand#43",MEDIUM BURNISHED COPPER,14,JUMBO DRUM,1094.19,lphins snooze careful
2193,orange steel sandy snow forest,"Manufacturer#2","Brand#24",ECONOMY POLISHED COPPER,4,WRAP CASE,1095.19,osits along the cl
2194,honeydew sandy coral royal tomato,"Manufacturer#1","Brand#14",PROMO PLATED NICKEL,35,LG CAN,1096.19,olites cajole ou
2195,deep tomato navajo tan lemon,"Manufacturer#4","Brand#43",SMALL POLISHED TIN,33,MED DRUM,1097.19, requests ar
2196,sienna peru turquoise smoke antique,"Manufacturer#2","Brand#23",ECONOMY POLISHED NICKEL,17,SM JAR,1098.19,blithely: express ide
2197,navajo green sienna cornflower turquoise,"Manufacturer#3","Brand#33",ECONOMY ANODIZED COPPER,2,JUMBO PACK,1099.19,nt pinto beans wake al
2198,snow sandy linen puff sky,"Manufacturer#1","Brand#14",ECONOMY POLISHED BRASS,2,MED BAG,1100.19,ackage
2199,snow lavender burlywood medium olive,"Manufacturer#2","Brand#23",SMALL PLATED NICKEL,50,WRAP PACK,1101.19,instructions a
2200,bisque magenta floral drab dark,"Manufacturer#3","Brand#31",STANDARD POLISHED STEEL,12,MED DRUM,1102.20,egular f
2201,blanched olive peru rose white,"Manufacturer#5","Brand#52",MEDIUM POLISHED STEEL,3,WRAP PACK,1103.20,cial theodolites? theo
2202,goldenrod salmon turquoise royal grey,"Manufacturer#5","Brand#53",ECONOMY ANODIZED STEEL,33,LG DRUM,1104.20,accounts ca
2203,honeydew pale gainsboro lawn orange,"Manufacturer#3","Brand#33",PROMO BURNISHED NICKEL,15,WRAP BAG,1105.20,y expr
2204,medium peru bisque orchid white,"Manufacturer#5","Brand#53",MEDIUM BRUSHED COPPER,24,SM DRUM,1106.20, pending requests bo
2205,ivory red sky maroon dodger,"Manufacturer#2","Brand#21",LARGE PLATED NICKEL,49,JUMBO CASE,1107.20,nts. slow account
2206,maroon blue lime lemon forest,"Manufacturer#5","Brand#55",ECONOMY BRUSHED BRASS,48,WRAP CASE,1108.20, the 
2207,purple orange cyan maroon azure,"Manufacturer#1","Brand#15",PROMO ANODIZED TIN,47,MED PKG,1109.20,ent theodolites
2208,brown blanched turquoise seashell rosy,"Manufacturer#1","Brand#12",STANDARD BURNISHED NICKEL,22,SM PACK,1110.20,gle according
2209,chocolate misty beige coral forest,"Manufacturer#2","Brand#21",MEDIUM PLATED COPPER,11,SM BOX,1111.20, hang quic
2210,medium cyan khaki linen rose,"Manufacturer#2","Brand#25",MEDIUM BURNISHED STEEL,12,MED CAN,1112.21, sublate blithely a
2211,slate medium seashell ghost midnight,"Manufacturer#3","Brand#32",MEDIUM BURNISHED COPPER,35,WRAP PACK,1113.21,ans hang carefully upo
2212,green papaya lace cream khaki,"Manufacturer#5","Brand#52",PROMO ANODIZED TIN,20,SM PACK,1114.21,ial accounts are. iro
2213,medium seashell brown navy tomato,"Manufacturer#2","Brand#21",PROMO ANODIZED BRASS,30,JUMBO CAN,1115.21, special
2214,chiffon drab forest floral grey,"Manufacturer#3","Brand#34",ECONOMY BURNISHED TIN,32,JUMBO PACK,1116.21, caref
2215,smoke slate gainsboro moccasin ghost,"Manufacturer#1","Brand#13",MEDIUM PLATED STEEL,47,JUMBO BAG,1117.21,kly across the fin
2216,thistle gainsboro indian lemon almond,"Manufacturer#1","Brand#11",ECONOMY BURNISHED COPPER,12,SM DRUM,1118.21,counts use furiou
2217,forest lavender snow thistle peru,"Manufacturer#4","Brand#41",PROMO BURNISHED NICKEL,47,SM PKG,1119.21,c packag
2218,slate tomato steel antique spring,"Manufacturer#5","Brand#54",ECONOMY ANODIZED COPPER,30,WRAP BAG,1120.21,nto be
2219,drab khaki sienna brown gainsboro,"Manufacturer#3","Brand#31",STANDARD BURNISHED NICKEL,48,SM CASE,1121.21,ts. even pint
2220,yellow burnished sienna peru azure,"Manufacturer#2","Brand#22",STANDARD PLATED COPPER,25,MED DRUM,1122.22, slyly among
2221,almond steel puff powder navy,"Manufacturer#1","Brand#11",SMALL BRUSHED STEEL,8,SM BAG,1123.22,lithely special deposi
2222,sky ivory peru misty plum,"Manufacturer#2","Brand#22",SMALL ANODIZED TIN,37,SM DRUM,1124.22,lithely un
2223,white tan magenta seashell saddle,"Manufacturer#1","Brand#14",SMALL BURNISHED STEEL,15,MED PACK,1125.22,gular deposi
2224,cream firebrick sandy magenta orchid,"Manufacturer#4","Brand#44",MEDIUM POLISHED COPPER,20,SM DRUM,1126.22,"erns? dogged,"
2225,coral sienna lavender papaya deep,"Manufacturer#1","Brand#15",LARGE ANODIZED TIN,27,MED DRUM,1127.22,t the slyly regular as
2226,burnished green coral orange honeydew,"Manufacturer#1","Brand#13",STANDARD ANODIZED NICKEL,10,WRAP JAR,1128.22,ages. blithely
2227,khaki burnished hot cornflower coral,"Manufacturer#2","Brand#25",MEDIUM BURNISHED TIN,3,JUMBO JAR,1129.22,the fluff
2228,wheat powder blanched yellow sandy,"Manufacturer#2","Brand#24",PROMO POLISHED BRASS,16,MED BAG,1130.22,regular pac
2229,almond lace khaki salmon magenta,"Manufacturer#2","Brand#25",ECONOMY ANODIZED NICKEL,17,SM DRUM,1131.22,s requ
2230,chocolate tomato floral slate cyan,"Manufacturer#3","Brand#34",SMALL POLISHED NICKEL,41,LG BOX,1132.23,nally ironi
2231,midnight cyan lemon violet lawn,"Manufacturer#2","Brand#24",PROMO BURNISHED BRASS,45,SM BOX,1133.23, blithely final pa
2232,blush navy orange lemon azure,"Manufacturer#2","Brand#25",SMALL BRUSHED NICKEL,6,JUMBO BAG,1134.23,"bold, re"
2233,orange blue blanched frosted cyan,"Manufacturer#5","Brand#53",PROMO BRUSHED BRASS,10,LG JAR,1135.23,wake along the
2234,almond white steel drab thistle,"Manufacturer#2","Brand#25",STANDARD PLATED NICKEL,47,WRAP BOX,1136.23,rmanently even
2235,peach sandy burlywood rose spring,"Manufacturer#5","Brand#55",SMALL BURNISHED TIN,20,WRAP BAG,1137.23,t to sleep a
2236,salmon chiffon goldenrod blanched forest,"Manufacturer#2","Brand#22",MEDIUM BURNISHED NICKEL,15,JUMBO CAN,1138.23,s boost express theod
2237,blue pink antique sandy blush,"Manufacturer#4","Brand#42",MEDIUM POLISHED STEEL,31,WRAP BOX,1139.23, foxes sleep u
2238,goldenrod lemon dark burlywood floral,"Manufacturer#4","Brand#43",ECONOMY BURNISHED TIN,22,MED DRUM,1140.23,ions. slyly pen
2239,dodger peach black cyan chocolate,"Manufacturer#4","Brand#45",PROMO POLISHED BRASS,3,LG BOX,1141.23,osits nag; f
2240,frosted linen pale chocolate tomato,"Manufacturer#5","Brand#52",PROMO BRUSHED STEEL,24,WRAP BOX,1142.24,lyly. deposits sl
2241,black blush powder brown steel,"Manufacturer#3","Brand#34",SMALL BRUSHED TIN,47,JUMBO JAR,1143.24,latelets n
2242,salmon deep azure magenta sandy,"Manufacturer#4","Brand#45",MEDIUM POLISHED STEEL,7,LG BOX,1144.24,ld fo
2243,honeydew chiffon blush burlywood chartreuse,"Manufacturer#5","Brand#53",MEDIUM BURNISHED TIN,10,LG BOX,1145.24,eas de
2244,plum cyan linen lavender navajo,"Manufacturer#2","Brand#23",STANDARD PLATED COPPER,7,SM DRUM,1146.24,fluffily. final
2245,indian thistle olive misty royal,"Manufacturer#3","Brand#31",PROMO POLISHED TIN,21,LG PACK,1147.24,l the
2246,lemon royal white plum salmon,"Manufacturer#2","Brand#25",STANDARD ANODIZED TIN,11,LG DRUM,1148.24,nts. regular i
2247,sienna dark midnight almond violet,"Manufacturer#1","Brand#11",PROMO BRUSHED NICKEL,32,SM BAG,1149.24,lyly final asympt
2248,white cornflower forest lemon misty,"Manufacturer#1","Brand#14",STANDARD PLATED TIN,29,SM BAG,1150.24, express instructio
2249,dodger snow chocolate pale lavender,"Manufacturer#4","Brand#41",MEDIUM POLISHED STEEL,48,LG CAN,1151.24,to beans haggl
2250,orange aquamarine yellow snow green,"Manufacturer#1","Brand#15",LARGE PLATED STEEL,38,JUMBO PKG,1152.25,tructions wake slyl
2251,blue navajo lavender drab metallic,"Manufacturer#3","Brand#34",SMALL ANODIZED TIN,21,JUMBO PKG,1153.25,y regular account
2252,cyan ivory blanched yellow snow,"Manufacturer#3","Brand#34",MEDIUM PLATED BRASS,18,SM BOX,1154.25,from the fluffily q
2253,antique burlywood magenta grey beige,"Manufacturer#2","Brand#24",SMALL PLATED NICKEL,31,SM JAR,1155.25,among the requests. 
2254,blanched slate brown hot drab,"Manufacturer#3","Brand#34",SMALL PLATED COPPER,8,MED JAR,1156.25,x furiously quick
2255,drab indian puff powder pink,"Manufacturer#5","Brand#51",MEDIUM BRUSHED BRASS,36,MED CASE,1157.25,depos
2256,grey orange rose drab plum,"Manufacturer#4","Brand#45",MEDIUM POLISHED NICKEL,39,MED JAR,1158.25, accounts boost iro
2257,lemon blue wheat pale almond,"Manufacturer#1","Brand#12",PROMO PLATED NICKEL,28,LG CAN,1159.25,caref
2258,slate navajo burlywood grey orchid,"Manufacturer#5","Brand#55",ECONOMY POLISHED BRASS,10,SM CASE,1160.25, even asympt
2259,lace grey dark lawn medium,"Manufacturer#3","Brand#34",STANDARD PLATED NICKEL,26,LG PKG,1161.25, the furiously ev
2260,navajo lemon cream thistle green,"Manufacturer#4","Brand#43",LARGE PLATED COPPER,22,LG PKG,1162.26,ckly. even instruc
2261,turquoise blanched magenta spring steel,"Manufacturer#4","Brand#43",PROMO POLISHED STEEL,19,SM PKG,1163.26,ccounts
2262,blanched tan pale spring thistle,"Manufacturer#1","Brand#14",MEDIUM BURNISHED STEEL,3,LG DRUM,1164.26,lithely regular 
2263,seashell frosted ghost mint tomato,"Manufacturer#2","Brand#23",LARGE ANODIZED NICKEL,31,MED PKG,1165.26,g the furiously s
2264,plum cornflower midnight blue lavender,"Manufacturer#1","Brand#15",SMALL BURNISHED TIN,23,WRAP PKG,1166.26,carefully. slyly
2265,yellow goldenrod medium salmon deep,"Manufacturer#3","Brand#33",SMALL BRUSHED BRASS,2,SM JAR,1167.26,blithely ironic asymp
2266,almond midnight navajo chocolate rosy,"Manufacturer#5","Brand#51",STANDARD ANODIZED COPPER,13,MED PKG,1168.26,slyly regular excuses
2267,orange spring chartreuse forest ghost,"Manufacturer#1","Brand#13",ECONOMY PLATED STEEL,8,JUMBO JAR,1169.26,ng asympt
2268,royal cornflower linen khaki metallic,"Manufacturer#2","Brand#21",SMALL ANODIZED COPPER,42,SM BOX,1170.26,refully ironic
2269,blue red cyan pink orange,"Manufacturer#5","Brand#55",MEDIUM ANODIZED COPPER,9,WRAP BOX,1171.26, furiously
2270,cornsilk turquoise orchid yellow cyan,"Manufacturer#1","Brand#14",STANDARD BRUSHED STEEL,16,JUMBO BOX,1172.27,iously pe
2271,indian blue yellow almond blanched,"Manufacturer#4","Brand#43",STANDARD BURNISHED NICKEL,47,LG PKG,1173.27,odolites are carefull
2272,dim hot lemon violet bisque,"Manufacturer#5","Brand#55",ECONOMY BRUSHED BRASS,19,LG BOX,1174.27,final req
2273,aquamarine cornsilk honeydew beige azure,"Manufacturer#5","Brand#53",PROMO BURNISHED TIN,50,JUMBO CASE,1175.27,fluffily? caref
2274,dodger medium sienna misty linen,"Manufacturer#5","Brand#52",ECONOMY BURNISHED NICKEL,26,SM DRUM,1176.27,odolites? sly
2275,hot slate lemon metallic spring,"Manufacturer#2","Brand#23",SMALL POLISHED BRASS,6,JUMBO BAG,1177.27,detect slyly fu
2276,orchid cream deep peru olive,"Manufacturer#3","Brand#34",ECONOMY PLATED NICKEL,12,MED JAR,1178.27,packages. silent p
2277,linen peru hot navajo lace,"Manufacturer#4","Brand#41",SMALL BURNISHED TIN,26,SM PACK,1179.27,e between the furi
2278,blanched cream azure grey purple,"Manufacturer#1","Brand#13",MEDIUM ANODIZED NICKEL,11,JUMBO PACK,1180.27,the pending accounts 
2279,powder ghost lime blue almond,"Manufacturer#5","Brand#51",LARGE BRUSHED BRASS,26,LG CASE,1181.27,. slyly daring foxes
2280,chocolate yellow wheat thistle hot,"Manufacturer#1","Brand#12",STANDARD BURNISHED STEEL,46,SM DRUM,1182.28,ve to 
2281,lemon indian yellow metallic peru,"Manufacturer#3","Brand#33",STANDARD PLATED STEEL,11,WRAP DRUM,1183.28,even deposits affix
2282,chartreuse deep saddle lemon blanched,"Manufacturer#4","Brand#41",SMALL BURNISHED TIN,27,SM PACK,1184.28,ronic deposits wak
2283,blush royal lime burnished powder,"Manufacturer#2","Brand#25",PROMO ANODIZED STEEL,32,WRAP JAR,1185.28,ackages use. 
2284,wheat seashell moccasin gainsboro chiffon,"Manufacturer#4","Brand#41",STANDARD BRUSHED NICKEL,8,WRAP JAR,1186.28,l asymptotes. regular
2285,magenta goldenrod cream seashell smoke,"Manufacturer#3","Brand#31",MEDIUM PLATED STEEL,44,SM JAR,1187.28,ng platel
2286,lime turquoise khaki rose floral,"Manufacturer#3","Brand#33",PROMO BURNISHED TIN,23,JUMBO CASE,1188.28,even depen
2287,dim steel cornsilk red hot,"Manufacturer#5","Brand#53",ECONOMY BURNISHED COPPER,22,LG PACK,1189.28,blithely furiously iro
2288,burlywood tomato cornsilk rosy lemon,"Manufacturer#1","Brand#13",LARGE ANODIZED COPPER,19,LG BOX,1190.28,"the even, express "
2289,tan salmon light navajo honeydew,"Manufacturer#3","Brand#33",MEDIUM BURNISHED NICKEL,28,SM JAR,1191.28,ans run carefully
2290,dark almond cornsilk purple peru,"Manufacturer#2","Brand#22",PROMO ANODIZED TIN,27,WRAP CAN,1192.29,en requests accordin
2291,pale orange blue slate chiffon,"Manufacturer#3","Brand#32",PROMO BRUSHED NICKEL,14,MED JAR,1193.29,ngside o
2292,misty burlywood wheat lavender beige,"Manufacturer#3","Brand#33",STANDARD PLATED COPPER,15,MED PACK,1194.29,y: depos
2293,slate lace aquamarine blanched tan,"Manufacturer#5","Brand#51",SMALL BURNISHED NICKEL,17,WRAP PACK,1195.29,nic ideas! dugouts 
2294,green white violet puff rosy,"Manufacturer#5","Brand#55",ECONOMY BURNISHED COPPER,7,LG CASE,1196.29,its-- final packages
2295,royal honeydew azure papaya blanched,"Manufacturer#3","Brand#31",PROMO PLATED STEEL,50,MED PACK,1197.29, packages.
2296,burnished red black drab puff,"Manufacturer#1","Brand#11",ECONOMY BRUSHED BRASS,26,SM PKG,1198.29, lose b
2297,dodger blue deep cornflower snow,"Manufacturer#4","Brand#45",ECONOMY ANODIZED NICKEL,30,JUMBO PACK,1199.29,ely aga
2298,navy saddle wheat navajo sienna,"Manufacturer#3","Brand#33",MEDIUM POLISHED STEEL,38,MED PKG,1200.29,theodolite
2299,orchid metallic moccasin hot cornflower,"Manufacturer#5","Brand#53",LARGE POLISHED TIN,44,WRAP PACK,1201.29,cajole furiously
2300,steel chiffon indian blue beige,"Manufacturer#3","Brand#34",PROMO BRUSHED COPPER,39,MED CASE,1202.30,rve across
2301,puff white papaya lemon orchid,"Manufacturer#3","Brand#32",MEDIUM BRUSHED TIN,20,SM BOX,1203.30,ep about the carefull
2302,khaki beige red goldenrod spring,"Manufacturer#4","Brand#45",STANDARD ANODIZED TIN,49,SM PACK,1204.30,ymptotes. furi
2303,cornflower orange medium royal smoke,"Manufacturer#5","Brand#51",PROMO PLATED STEEL,39,LG CAN,1205.30,"r, bold packages "
2304,floral indian blue green brown,"Manufacturer#2","Brand#22",LARGE BRUSHED NICKEL,25,MED CAN,1206.30,ironi
2305,pink snow slate red seashell,"Manufacturer#2","Brand#25",ECONOMY ANODIZED BRASS,49,LG BOX,1207.30,efully final deposi
2306,linen moccasin green cyan ivory,"Manufacturer#5","Brand#54",STANDARD ANODIZED COPPER,3,WRAP PKG,1208.30,arefully iro
2307,aquamarine mint green sandy slate,"Manufacturer#5","Brand#54",STANDARD PLATED TIN,30,SM PACK,1209.30," regular, i"
2308,coral sandy aquamarine frosted dark,"Manufacturer#1","Brand#14",PROMO BURNISHED BRASS,39,SM BAG,1210.30,cial dolphi
2309,bisque orchid violet maroon lemon,"Manufacturer#1","Brand#11",MEDIUM PLATED BRASS,3,WRAP PACK,1211.30,to beans. carefully 
2310,white almond lemon brown azure,"Manufacturer#1","Brand#11",LARGE PLATED BRASS,44,MED BOX,1212.31,ithely despite th
2311,tomato blanched mint lace gainsboro,"Manufacturer#4","Brand#41",MEDIUM PLATED NICKEL,25,WRAP CAN,1213.31,nstructions. stealthy 
2312,lace chartreuse maroon indian green,"Manufacturer#4","Brand#43",SMALL POLISHED BRASS,42,MED DRUM,1214.31,eas wake of t
2313,royal goldenrod spring seashell thistle,"Manufacturer#4","Brand#43",ECONOMY BRUSHED COPPER,10,LG JAR,1215.31,t have to wake furiou
2314,orange violet peru honeydew linen,"Manufacturer#2","Brand#24",PROMO PLATED TIN,50,WRAP CASE,1216.31,y ironic acc
2315,wheat sandy antique floral orange,"Manufacturer#2","Brand#23",MEDIUM BRUSHED COPPER,3,SM PACK,1217.31,p silently quic
2316,black deep cornsilk khaki indian,"Manufacturer#1","Brand#14",STANDARD ANODIZED NICKEL,14,WRAP JAR,1218.31, packages m
2317,mint maroon blanched navy tomato,"Manufacturer#2","Brand#24",PROMO POLISHED NICKEL,3,MED DRUM,1219.31,ly express platelet
2318,olive maroon medium lace ivory,"Manufacturer#1","Brand#15",ECONOMY BRUSHED COPPER,46,JUMBO PACK,1220.31,ccounts cajole ironic 
2319,antique lavender turquoise royal red,"Manufacturer#1","Brand#11",SMALL BRUSHED COPPER,16,LG CAN,1221.31,ts are car
2320,forest lime rose antique snow,"Manufacturer#1","Brand#13",SMALL BRUSHED BRASS,44,WRAP CAN,1222.32, carefully re
2321,ivory blush rose cornsilk frosted,"Manufacturer#4","Brand#41",SMALL POLISHED COPPER,42,JUMBO PACK,1223.32,ckages. furiously fina
2322,blush dodger orchid khaki burlywood,"Manufacturer#4","Brand#45",MEDIUM PLATED NICKEL,45,SM PKG,1224.32,ess foxes us
2323,lime indian blue tan magenta,"Manufacturer#1","Brand#11",LARGE BURNISHED COPPER,21,WRAP CAN,1225.32,ar depo
2324,rose orchid navajo burlywood saddle,"Manufacturer#3","Brand#32",ECONOMY ANODIZED COPPER,32,WRAP CASE,1226.32,s sleep after the sly
2325,olive cyan peru royal misty,"Manufacturer#5","Brand#54",PROMO POLISHED COPPER,1,MED DRUM,1227.32,xcuses should h
2326,powder goldenrod blush antique ivory,"Manufacturer#3","Brand#34",ECONOMY PLATED BRASS,37,LG DRUM,1228.32,e furiously
2327,cream orange puff saddle khaki,"Manufacturer#3","Brand#33",MEDIUM POLISHED TIN,25,JUMBO PACK,1229.32,g requests. careful
2328,papaya linen cornsilk deep indian,"Manufacturer#5","Brand#53",MEDIUM POLISHED TIN,34,WRAP PACK,1230.32,eep. carefully
2329,puff deep coral lime khaki,"Manufacturer#3","Brand#31",ECONOMY BRUSHED TIN,44,WRAP PKG,1231.32,r deposits. carefully
2330,grey gainsboro peach olive salmon,"Manufacturer#1","Brand#11",ECONOMY PLATED BRASS,28,MED CAN,1232.33, furiously 
2331,burlywood smoke brown mint rose,"Manufacturer#2","Brand#24",ECONOMY PLATED COPPER,29,SM PACK,1233.33,ial instr
2332,orchid tan rose ivory violet,"Manufacturer#2","Brand#24",STANDARD BRUSHED NICKEL,24,LG DRUM,1234.33,regular instr
2333,orchid rosy yellow blanched coral,"Manufacturer#2","Brand#22",MEDIUM BRUSHED BRASS,27,SM PACK,1235.33,ithely re
2334,medium maroon chocolate saddle sandy,"Manufacturer#2","Brand#23",PROMO BURNISHED NICKEL,17,JUMBO CAN,1236.33,nstruc
2335,maroon burnished peach sky turquoise,"Manufacturer#5","Brand#51",ECONOMY BRUSHED BRASS,49,MED PACK,1237.33,ng pack
2336,metallic floral burlywood blue drab,"Manufacturer#5","Brand#54",STANDARD BRUSHED NICKEL,18,MED BAG,1238.33,lyly even pac
2337,red orchid chocolate yellow chartreuse,"Manufacturer#2","Brand#25",STANDARD BURNISHED COPPER,13,LG BAG,1239.33,old deposits at the
2338,ghost snow cyan almond lemon,"Manufacturer#1","Brand#14",MEDIUM POLISHED COPPER,28,JUMBO CASE,1240.33,deas c
2339,peach orchid powder firebrick tan,"Manufacturer#1","Brand#15",LARGE BRUSHED TIN,42,LG BOX,1241.33,nusual dinos use brave
2340,wheat peach cream gainsboro linen,"Manufacturer#4","Brand#44",PROMO BURNISHED BRASS,18,LG BOX,1242.34,ly final 
2341,sky wheat chiffon azure saddle,"Manufacturer#3","Brand#31",SMALL ANODIZED NICKEL,9,LG CAN,1243.34,"o beans. special, s"
2342,maroon lace dodger thistle firebrick,"Manufacturer#4","Brand#45",ECONOMY ANODIZED TIN,7,JUMBO DRUM,1244.34,nstru
2343,burlywood orange floral frosted navy,"Manufacturer#3","Brand#35",PROMO ANODIZED TIN,46,MED PKG,1245.34,ogs wake alo
2344,light midnight turquoise smoke red,"Manufacturer#2","Brand#22",PROMO POLISHED NICKEL,35,SM CAN,1246.34,ve the 
2345,red papaya navajo seashell olive,"Manufacturer#5","Brand#53",PROMO ANODIZED BRASS,44,LG PACK,1247.34,ly regular instructi
2346,cream forest beige dark spring,"Manufacturer#5","Brand#51",SMALL ANODIZED COPPER,4,JUMBO PKG,1248.34,lar accounts 
2347,almond violet rosy goldenrod lime,"Manufacturer#1","Brand#11",ECONOMY PLATED BRASS,27,WRAP PKG,1249.34,es. furiously final de
2348,blanched maroon dark deep sienna,"Manufacturer#1","Brand#15",SMALL ANODIZED STEEL,37,WRAP PKG,1250.34, package
2349,beige chiffon lime ghost forest,"Manufacturer#5","Brand#52",STANDARD ANODIZED NICKEL,41,WRAP PACK,1251.34,efully about t
2350,red antique green orange olive,"Manufacturer#3","Brand#33",STANDARD BRUSHED TIN,16,JUMBO BAG,1252.35,le. blithely reg
2351,maroon sienna goldenrod brown misty,"Manufacturer#5","Brand#53",SMALL BURNISHED COPPER,19,LG JAR,1253.35,lly. pend
2352,magenta dodger cyan green peru,"Manufacturer#1","Brand#15",PROMO POLISHED STEEL,18,WRAP PACK,1254.35, the blithely iron
2353,salmon rosy misty chiffon pink,"Manufacturer#3","Brand#35",PROMO POLISHED NICKEL,18,SM JAR,1255.35,ss platelets grow agai
2354,medium cream antique olive dim,"Manufacturer#1","Brand#15",LARGE BURNISHED COPPER,42,LG CAN,1256.35,s are f
2355,rosy turquoise rose blue green,"Manufacturer#3","Brand#31",PROMO ANODIZED NICKEL,26,WRAP CASE,1257.35,iously. furiou
2356,purple yellow tan dodger gainsboro,"Manufacturer#1","Brand#12",STANDARD POLISHED NICKEL,39,MED DRUM,1258.35, players. 
2357,yellow smoke firebrick chiffon rosy,"Manufacturer#2","Brand#23",LARGE BURNISHED NICKEL,1,SM DRUM,1259.35,gside of the even requ
2358,navy linen lavender hot lime,"Manufacturer#1","Brand#12",SMALL BURNISHED BRASS,12,LG BOX,1260.35,ual ac
2359,steel deep brown violet pink,"Manufacturer#4","Brand#45",MEDIUM PLATED COPPER,20,JUMBO BAG,1261.35,ar accounts haggle. 
2360,cornflower indian sandy antique burnished,"Manufacturer#3","Brand#31",ECONOMY POLISHED TIN,30,SM DRUM,1262.36,e slyly p
2361,honeydew khaki peach tan blanched,"Manufacturer#4","Brand#44",ECONOMY PLATED BRASS,46,JUMBO CAN,1263.36,osits affix 
2362,saddle purple peru olive sky,"Manufacturer#2","Brand#25",SMALL POLISHED STEEL,34,JUMBO BOX,1264.36,nal asympto
2363,aquamarine spring cornflower blush forest,"Manufacturer#3","Brand#32",SMALL BURNISHED NICKEL,36,SM JAR,1265.36,ounts wake f
2364,navy brown chartreuse blanched saddle,"Manufacturer#3","Brand#32",LARGE BURNISHED NICKEL,18,JUMBO BOX,1266.36,ular pinto beans. 
2365,medium coral plum lime saddle,"Manufacturer#4","Brand#42",ECONOMY ANODIZED BRASS,21,JUMBO BAG,1267.36, carefully regular co
2366,chocolate snow sky grey thistle,"Manufacturer#1","Brand#15",STANDARD POLISHED STEEL,20,WRAP BOX,1268.36,tes. regular dec
2367,peach mint firebrick dim linen,"Manufacturer#2","Brand#21",SMALL ANODIZED STEEL,34,JUMBO CASE,1269.36, dugo
2368,cream green wheat coral yellow,"Manufacturer#1","Brand#13",MEDIUM ANODIZED STEEL,25,LG CAN,1270.36,rses solve. si
2369,peru pink plum slate brown,"Manufacturer#4","Brand#41",SMALL BURNISHED BRASS,10,WRAP PKG,1271.36,pecial requests h
2370,goldenrod powder beige magenta cornsilk,"Manufacturer#4","Brand#43",LARGE PLATED BRASS,27,LG PKG,1272.37,ar excuses. blit
2371,saddle navy sienna turquoise grey,"Manufacturer#3","Brand#31",MEDIUM ANODIZED NICKEL,38,SM BAG,1273.37,ckages. pinto be
2372,ghost pink navy yellow seashell,"Manufacturer#1","Brand#14",PROMO BURNISHED TIN,8,LG BOX,1274.37, deposits
2373,cornsilk ivory white pale moccasin,"Manufacturer#1","Brand#14",SMALL ANODIZED BRASS,2,SM CAN,1275.37, blithely pending pack
2374,bisque orchid sky chocolate chiffon,"Manufacturer#2","Brand#23",LARGE POLISHED COPPER,30,JUMBO JAR,1276.37,lly dependenci
2375,peach misty slate linen frosted,"Manufacturer#4","Brand#42",LARGE POLISHED TIN,41,LG PACK,1277.37,nic accounts affix 
2376,goldenrod drab moccasin maroon sky,"Manufacturer#5","Brand#54",PROMO BURNISHED COPPER,39,MED PACK,1278.37,"r, ironic waters"
2377,moccasin light thistle burnished yellow,"Manufacturer#3","Brand#34",MEDIUM ANODIZED STEEL,34,WRAP BOX,1279.37,hely p
2378,lemon orange violet chiffon beige,"Manufacturer#5","Brand#55",SMALL BURNISHED STEEL,40,JUMBO BAG,1280.37,ependencies. furiously
2379,cyan burlywood brown misty lemon,"Manufacturer#2","Brand#23",ECONOMY BURNISHED BRASS,34,JUMBO CASE,1281.37,ld dependencies above 
2380,white chiffon olive sky coral,"Manufacturer#2","Brand#23",ECONOMY PLATED COPPER,14,SM CASE,1282.38,ests! slyly ironic
2381,tomato slate dim thistle turquoise,"Manufacturer#3","Brand#31",ECONOMY BRUSHED TIN,43,WRAP DRUM,1283.38,pecial requests wak
2382,dim tan white salmon powder,"Manufacturer#5","Brand#52",ECONOMY BRUSHED NICKEL,32,WRAP JAR,1284.38,slyly r
